#Pos	Phred	A->A	A->C	A->G	A->T	A->N	C->A	C->C	C->G	C->T	C->N	G->A	G->C	G->G	G->T	G->N	T->A	T->C	T->G	T->T	T->N
3	29	730	2	1	1	0	1	666	1	1	0	1	2	567	2	0	1	1	1	668	0
3	30	2201	2	1	1	0	1	1855	1	1	0	1	1	1694	3	0	1	1	2	2158	0
3	31	889	1	1	1	0	1	824	1	1	0	1	1	655	1	0	1	1	1	768	0
3	32	2402	1	1	2	0	1	2131	1	1	0	1	1	2220	1	0	1	1	1	2410	0
3	33	1705	1	2	1	0	1	1464	1	1	0	1	2	1581	1	0	1	1	2	1773	0
3	34	1744	2	1	1	0	1	1633	1	1	0	1	2	1536	1	0	1	1	1	1600	0
3	35	3170	1	1	1	0	2	2124	1	1	0	1	1	3715	1	0	1	1	1	3716	0
3	36	3461	1	1	1	0	1	2490	1	1	0	2	1	4094	1	0	1	1	1	3947	0
3	37	3436	1	1	1	0	1	2167	1	2	0	2	1	4333	1	0	1	1	1	4286	0
3	38	8178	1	2	1	0	1	4713	1	1	0	1	1	12217	2	0	1	3	1	9783	0
4	2	16747	1158	318	209	0	294	19315	238	160	0	136	336	6463	324	0	206	728	837	12947	0
4	3	3	2	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0
4	4	9	6	2	2	0	1	4	1	2	0	1	1	6	2	0	2	1	3	8	0
4	5	22	7	2	2	0	1	7	1	1	0	1	1	5	1	0	1	3	4	15	0
4	6	21	8	4	3	0	1	6	2	1	0	1	1	11	3	0	1	1	4	19	0
4	7	54	13	1	2	0	1	17	1	2	0	1	1	38	4	0	2	4	2	42	0
4	8	39	9	1	1	0	2	24	3	3	0	1	1	12	4	0	2	5	5	31	0
4	9	89	9	4	2	0	1	65	2	2	0	1	4	60	8	0	4	6	3	107	0
4	10	58	8	2	1	0	3	41	1	2	0	1	3	43	1	0	1	5	4	79	0
4	11	103	9	3	2	0	2	67	2	1	0	2	3	62	6	0	4	3	13	97	0
4	12	286	13	4	3	0	3	200	2	2	0	3	3	191	6	0	3	7	16	390	0
4	13	152	5	4	2	0	1	115	2	2	0	1	5	107	7	0	1	3	11	151	0
4	14	48	1	2	1	0	1	24	1	1	0	2	1	30	2	0	1	1	1	50	0
4	15	110	2	2	1	0	1	69	2	1	0	1	1	68	1	0	1	2	2	82	0
4	16	88	2	1	2	0	1	75	1	1	0	1	1	56	1	0	3	2	3	89	0
4	17	127	2	1	1	0	1	90	1	1	0	1	1	92	1	0	1	1	2	112	0
4	18	146	5	1	1	0	2	102	1	1	0	1	3	70	2	0	1	1	4	151	0
4	19	201	1	1	1	0	1	134	1	1	0	2	1	112	2	0	2	2	4	210	0
4	20	760	2	1	1	0	1	566	1	2	0	1	1	586	3	0	1	5	9	854	0
4	21	328	2	1	1	0	1	267	1	1	0	1	1	256	3	0	1	1	4	356	0
4	22	268	2	1	1	0	1	224	2	1	0	1	1	216	1	0	1	1	1	246	0
4	23	212	1	1	1	0	1	148	1	1	0	1	1	112	2	0	1	1	3	195	0
4	24	295	1	1	1	0	1	219	1	1	0	1	1	212	1	0	1	1	2	290	0
4	25	1302	2	2	1	0	2	930	1	1	0	2	2	863	2	0	1	3	10	1409	0
4	26	581	1	1	1	0	1	436	1	1	0	1	1	444	1	0	1	1	1	592	0
4	27	343	1	1	1	0	1	288	1	1	0	1	1	188	1	0	1	1	1	288	0
4	28	1438	1	1	1	0	1	1133	1	1	0	1	1	1217	1	0	1	2	1	1624	0
4	29	765	1	1	1	0	1	678	1	2	0	1	1	556	1	0	1	1	1	751	0
4	30	2154	3	1	1	0	1	1892	1	1	0	1	2	1541	1	0	1	2	5	2174	0
4	31	880	2	1	1	0	1	863	1	2	0	1	1	595	1	0	1	1	1	808	0
4	32	2614	1	1	1	0	1	2142	1	1	0	1	1	2135	1	0	1	1	2	2500	0
4	33	1696	1	1	1	0	1	1393	1	1	0	1	2	1497	1	0	1	1	1	1784	0
4	34	1822	1	1	1	0	2	1701	1	1	0	1	1	1458	1	0	2	1	1	1669	0
4	35	3040	1	1	1	0	1	2111	2	1	0	1	1	3630	1	0	1	1	1	4014	0
4	36	3693	1	1	1	0	1	2418	1	1	0	1	1	3989	2	0	2	1	1	4278	0
4	37	3426	1	1	1	0	1	2090	1	1	0	1	1	4296	1	0	1	1	1	4484	0
4	38	8561	1	1	2	0	1	4460	1	2	0	1	1	12056	4	0	1	1	1	10923	0
5	2	16616	1232	297	193	0	294	18580	199	149	0	120	320	6577	276	0	197	699	790	12936	0
5	3	1	4	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	2	0
5	4	17	7	2	1	0	1	5	3	1	0	1	1	6	3	0	1	2	2	8	0
