#Pos	Phred	A->A	A->C	A->G	A->T	A->N	C->A	C->C	C->G	C->T	C->N	G->A	G->C	G->G	G->T	G->N	T->A	T->C	T->G	T->T	T->N
4	20	1006	2	3	1	0	2	714	1	1	0	2	1	778	1	0	1	2	1	885	0
4	21	372	1	1	1	0	2	310	1	1	0	1	1	381	1	0	1	1	2	400	0
4	22	371	1	1	1	0	1	293	1	1	0	1	1	420	1	0	1	1	1	386	0
4	23	141	1	1	1	0	1	102	1	1	0	1	1	173	1	0	1	1	1	188	0
4	24	361	1	1	2	0	1	237	1	1	0	1	1	367	1	0	1	1	1	350	0
4	25	1528	1	3	1	0	1	1022	1	3	0	1	2	1117	1	0	1	3	1	1423	0
4	26	752	1	1	1	0	1	585	1	1	0	1	1	793	1	0	1	1	1	795	0
4	27	279	1	1	1	0	1	198	1	1	0	1	1	307	1	0	1	1	1	275	0
4	28	2246	1	2	1	0	1	1602	1	1	0	1	2	1865	1	0	1	2	1	1902	0
4	29	794	1	1	1	0	1	627	1	1	0	1	1	790	1	0	1	1	1	853	0
4	30	2541	1	1	1	0	1	1718	1	1	0	1	1	1970	1	0	1	1	1	2353	0
4	31	770	1	1	1	0	1	546	1	1	0	2	1	821	1	0	1	1	1	830	0
4	32	3515	1	1	1	0	1	2591	1	2	0	1	2	2954	1	0	1	3	1	3465	0
4	33	2746	1	1	2	0	1	1817	2	1	0	1	1	1993	1	0	2	1	1	2676	0
4	34	2439	1	1	2	0	1	1696	1	1	0	1	1	2476	2	0	1	1	1	2704	0
4	35	7960	1	1	1	0	2	5672	1	1	0	2	2	6496	1	0	1	2	1	6603	0
4	36	8732	1	1	2	0	2	6309	1	1	0	1	2	7826	2	0	1	1	1	8333	0
4	37	9482	1	1	1	0	3	6989	1	1	0	1	1	7466	1	0	2	3	1	8494	0
4	38	21237	1	2	1	0	5	19693	1	3	0	2	2	15608	1	0	2	1	1	19753	0
5	2	199	1	3	1	0	1	176	1	1	0	2	3	226	1	0	1	2	3	191	0
5	4	2	1	1	1	0	1	1	1	1	0	1	1	2	1	0	2	1	1	4	0
5	5	7	1	1	1	0	1	2	1	1	0	1	1	1	1	0	2	1	2	8	0
5	6	13	2	1	1	0	1	3	2	3	0	1	1	4	1	0	4	1	10	24	0
5	7	42	1	1	2	0	2	19	2	2	0	1	1	24	1	0	2	1	7	27	0
5	8	55	4	4	1	0	4	27	1	1	0	2	1	37	1	0	9	5	4	57	0
5	9	122	9	3	1	0	6	87	2	2	0	1	3	70	4	0	6	2	10	81	0
5	10	62	3	4	2	0	5	49	1	2	0	1	1	73	1	0	7	5	8	88	0
5	11	95	3	2	1	0	4	70	3	2	0	2	1	96	1	0	7	4	7	105	0
5	12	349	3	7	2	0	6	210	3	5	0	2	1	197	1	0	7	5	9	225	0
5	13	142	2	2	1	0	3	113	1	2	0	1	2	83	1	0	2	4	2	108	0
5	14	42	3	1	1	0	1	35	1	1	0	1	1	36	1	0	1	1	2	59	0
5	15	69	2	1	2	0	2	49	1	1	0	1	2	49	1	0	2	1	2	99	0
5	16	59	1	1	2	0	2	39	1	1	0	2	1	55	1	0	2	1	2	70	0
5	17	151	2	1	1	0	1	97	1	2	0	1	1	153	1	0	1	2	1	154	0
5	18	139	2	2	1	0	1	103	1	1	0	1	1	126	1	0	1	1	2	153	0
5	19	143	2	1	1	0	1	91	1	1	0	1	1	89	2	0	2	1	1	152	0
5	20	876	1	2	2	0	5	628	1	1	0	3	1	681	1	0	1	1	1	710	0
5	21	413	1	1	1	0	2	317	1	1	0	1	1	364	1	0	1	1	1	374	0
5	22	249	1	1	1	0	1	198	1	1	0	1	1	283	1	0	1	1	1	249	0
5	23	113	1	1	1	0	1	89	1	1	0	1	1	121	1	0	1	1	1	141	0
5	24	336	1	1	1	0	2	283	1	1	0	1	1	367	1	0	1	1	1	371	0
5	25	1362	1	2	1	0	1	974	1	3	0	1	1	919	1	0	1	1	1	1218	0
5	26	792	1	1	1	0	1	610	1	1	0	2	1	793	1	0	1	1	1	754	0
5	27	284	1	1	1	0	1	169	1	1	0	1	1	244	1	0	1	1	1	264	0
5	28	2187	1	1	1	0	2	1623	1	2	0	1	1	1799	1	0	1	1	1	2026	0
5	29	916	1	1	1	0	1	701	1	1	0	1	1	893	1	0	1	1	1	910	0
5	30	2456	1	1	1	0	2	1764	1	2	0	1	1	1803	1	0	1	1	1	2254	0
5	31	724	1	1	1	0	1	585	1	1	0	1	1	820	1	0	1	1	1	888	0
5	32	3653	1	2	1	0	1	2667	1	1	0	1	1	3058	1	0	1	2	1	3464	0
5	33	2610	1	1	1	0	2	1838	1	1	0	1	1	1816	1	0	1	2	1	2572	0
5	34	2426	1	1	1	0	2	1795	1	2	0	1	1	2418	1	0	1	1	1	2807	0
5	35	7676	1	2	2	0	4	6124	1	2	0	1	1	6536	1	0	1	1	1	7001	0
5	36	9094	1	1	1	0	3	7081	1	2	0	2	1	8605	1	0	1	1	1	9152	0
5	37	9129	1	1	1	0	1	7686	1	2	0	2	1	7916	2	0	1	2	1	8630	0
5	38	19654	1	1	1	0	3	20502	2	1	0	2	2	14690	1	0	1	1	1	19117	0
6	2	218	1	2	2	0	1	143	1	1	0	1	1	251	3	0	2	2	4	201	0
6	4	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	2	2	3	0
6	5	2	1	1	1	0	1	1	1	1	0	1	1	2	1	0	2	2	5	5	0
6	6	13	1	2	1	0	1	9	1	3	0	1	1	5	1	0	2	3	6	17	0
6	7	36	1	3	1	0	3	22	1	1	0	1	1	20	1	0	5	3	3	28	0
6	8	41	2	3	2	0	5	17	1	2	0	3	1	26	1	0	4	5	6	33	0
6	9	73	4	5	2	0	4	63	1	1	0	3	1	54	1	0	5	3	11	76	0
6	10	60	9	5	2	0	6	43	2	1	0	1	1	46	1	0	5	3	6	75	0
6	11	101	4	5	2	0	5	57	2	2	0	2	1	73	2	0	5	5	8	100	0
6	12	414	8	9	2	0	13	260	4	1	0	2	1	290	1	0	13	3	12	315	0
6	13	152	3	2	1	0	3	99	2	2	0	1	1	104	1	0	6	5	3	129	0
6	14	46	1	1	1	0	2	27	1	1	0	1	1	45	1	0	1	1	1	60	0
6	15	56	1	1	1	0	1	39	1	1	0	1	1	52	1	0	1	2	1	66	0
6	16	57	1	1	1	0	1	41	1	1	0	1	1	53	2	0	2	1	1	77	0
6	17	100	2	1	1	0	1	75	1	1	0	1	2	100	1	0	1	1	1	143	0
6	18	143	1	1	1	0	1	79	1	1	0	1	1	110	1	0	1	2	2	149	0
6	19	141	1	1	2	0	2	82	1	1	0	1	1	83	1	0	2	1	1	160	0
6	20	1069	3	5	1	0	1	615	1	2	0	2	2	783	1	0	1	2	2	866	0
6	21	436	1	1	1	0	1	275	1	2	0	1	1	385	1	0	1	1	1	381	0
6	22	299	1	1	1	0	1	201	1	1	0	1	1	329	1	0	1	1	1	298	0
6	23	130	1	1	1	0	1	96	1	1	0	1	1	114	1	0	1	1	1	146	0
6	24	322	2	1	1	0	2	217	1	1	0	1	1	311	1	0	1	1	1	330	0
6	25	1542	2	1	1	0	1	1016	1	1	0	1	1	1132	1	0	1	1	1	1540	0
6	26	764	1	1	1	0	1	531	1	1	0	1	2	755	1	0	1	1	1	723	0
6	27	304	1	1	1	0	1	225	1	1	0	1	1	285	1	0	1	1	1	280	0
6	28	2216	1	3	1	0	1	1616	1	1	0	1	1	1852	1	0	1	1	1	2163	0
6	29	927	1	1	1	0	1	671	1	1	0	1	1	952	2	0	1	1	1	925	0
6	30	2557	1	2	1	0	2	1745	1	2	0	1	1	1979	2	0	1	1	1	2522	0
6	31	829	1	1	1	0	2	638	1	1	0	1	1	921	1	0	1	1	1	965	0
6	32	3704	1	1	1	0	1	2623	1	1	0	1	1	3163	1	0	1	1	1	3581	0
6	33	2932	1	1	2	0	3	1877	1	1	0	2	1	2061	1	0	1	1	1	2910	0
6	34	2839	1	2	1	0	2	1900	1	2	0	1	1	2719	1	0	1	1	1	3091	0
6	35	7961	1	2	1	0	2	5926	1	1	0	1	1	6702	1	0	1	1	1	7270	0
6	36	9187	1	1	1	0	2	6929	1	1	0	1	1	8907	1	0	1	2	1	9210	0
6	37	9287	2	1	1	0	3	7024	1	1	0	1	2	7691	1	0	1	1	1	8845	0
6	38	18646	1	1	1	0	4	18149	1	2	0	1	1	13962	1	0	1	2	1	18447	0
7	2	187	1	3	2	0	4	166	1	2	0	1	1	239	1	0	3	1	3	248	0
7	3	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	2	0
7	4	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	3	7	0
7	5	6	1	1	1	0	2	2	1	1	0	1	1	4	1	0	2	2	6	14	0
7	6	11	1	1	1	0	1	4	1	1	0	2	1	3	1	0	2	1	6	22	0
7	7	27	1	2	2	0	1	16	1	1	0	1	1	29	1	0	5	2	11	38	0
7	8	36	4	3	1	0	7	21	3	1	0	3	1	15	1	0	2	4	5	38	0
7	9	86	2	6	3	0	3	40	3	1	0	2	1	50	1	0	6	4	6	79	0
7	10	74	4	3	1	0	3	39	1	1	0	1	3	48	1	0	7	3	5	70	0
7	11	92	3	3	3	0	7	58	1	3	0	3	1	62	2	0	4	2	7	92	0
7	12	471	17	12	2	0	12	286	2	3	0	7	2	298	3	0	9	11	10	371	0
7	13	139	8	3	1	0	2	105	1	3	0	2	2	107	1	0	5	5	7	134	0
7	14	47	1	1	1	0	1	26	1	1	0	1	1	33	1	0	1	1	1	59	0
7	15	61	1	1	1	0	1	44	1	1	0	1	1	59	2	0	1	1	1	82	0
7	16	64	1	1	1	0	2	33	1	1	0	1	1	49	1	0	1	1	1	83	0
7	17	94	2	1	1	0	2	72	1	1	0	1	1	100	1	0	1	1	3	113	0
