#Pos	Phred	A->A	A->C	A->G	A->T	A->N	C->A	C->C	C->G	C->T	C->N	G->A	G->C	G->G	G->T	G->N	T->A	T->C	T->G	T->T	T->N
3	12	553	33	11	24	0	11	397	8	17	0	16	18	443	12	0	7	12	37	637	0
3	13	184	16	3	6	0	9	143	6	4	0	3	2	140	11	0	5	3	15	204	0
3	14	74	1	1	2	0	1	35	1	1	0	2	1	42	4	0	1	1	2	65	0
3	15	147	1	2	4	0	2	69	2	2	0	2	1	77	4	0	1	1	7	137	0
3	16	139	2	2	3	0	3	80	2	3	0	1	1	96	2	0	2	2	2	110	0
3	17	182	3	2	2	0	4	102	1	5	0	1	3	129	4	0	1	3	3	177	0
3	18	191	6	1	5	0	5	133	3	3	0	1	2	153	4	0	5	3	7	204	0
3	19	249	4	2	4	0	6	191	2	4	0	1	2	146	1	0	2	3	5	250	0
3	20	1275	21	5	13	0	13	878	8	22	0	9	2	1030	15	0	9	14	11	1421	0
3	21	410	9	3	7	0	4	304	3	4	0	3	1	355	4	0	7	9	4	462	0
3	22	451	4	3	4	0	9	331	1	5	0	2	1	392	1	0	3	2	1	419	0
3	23	270	2	3	4	0	5	224	3	5	0	1	1	176	3	0	3	2	2	269	0
3	24	402	4	1	6	0	7	311	3	5	0	4	1	367	2	0	2	3	2	402	0
3	25	1900	15	7	23	0	13	1343	12	17	0	13	7	1401	6	0	17	7	4	1964	0
3	26	734	11	3	4	0	9	612	7	7	0	5	2	654	3	0	9	5	5	724	0
3	27	463	4	1	10	0	6	343	4	11	0	7	3	338	2	0	3	4	1	454	0
3	28	2142	14	4	17	0	9	1543	12	14	0	10	3	1922	10	0	16	12	4	2245	0
3	29	987	16	6	8	0	17	866	4	9	0	9	2	848	8	0	7	14	5	943	0
3	30	2736	95	38	49	0	70	2179	48	57	0	30	44	2282	33	0	65	99	37	2828	0
3	31	1110	47	16	23	0	31	971	19	24	0	19	16	936	9	0	35	36	14	1017	0
3	32	3166	78	30	49	0	34	2636	35	21	0	28	22	3035	15	0	57	65	26	3237	0
3	33	2223	45	14	20	0	20	1778	15	13	0	15	22	2121	12	0	23	40	14	2422	0
3	34	2283	45	17	16	0	23	2050	13	13	0	15	20	2115	7	0	19	35	7	2188	0
3	35	4301	13	4	4	0	4	2859	3	3	0	4	2	5071	5	0	6	9	7	5149	0
3	36	4618	15	4	5	0	5	3295	3	3	0	6	6	5502	3	0	8	7	6	5382	0
3	37	4417	1	2	1	0	1	2824	2	2	0	3	2	5661	1	0	1	2	2	5524	0
3	38	10282	2	2	1	0	1	5976	1	1	0	2	1	15313	2	0	3	4	1	12348	0
4	2	9058	10761	4296	6720	0	10532	13718	4985	8143	0	3823	4800	2544	3103	0	6257	7970	3318	5827	0
4	3	2	3	1	1	0	3	1	1	1	0	1	1	1	1	0	1	1	1	1	0
4	4	10	7	1	2	0	1	3	4	2	0	2	1	4	2	0	2	1	4	9	0
4	5	20	8	2	2	0	5	7	3	1	0	1	2	5	2	0	1	3	4	17	0
4	6	24	9	4	3	0	3	9	3	1	0	1	2	17	6	0	1	2	6	21	0
4	7	71	16	2	5	0	5	22	2	4	0	3	3	54	5	0	2	7	4	69	0
4	8	52	13	1	3	0	4	37	5	3	0	4	1	28	9	0	1	5	7	50	0
