#Pos	Phred	A->A	A->C	A->G	A->T	A->N	C->A	C->C	C->G	C->T	C->N	G->A	G->C	G->G	G->T	G->N	T->A	T->C	T->G	T->T	T->N
3	35	11683	0	0	0	0	0	8300	0	0	0	0	0	5463	0	0	0	0	0	11181	0
3	35	3521	0	0	0	0	0	3873	0	0	0	0	0	2641	0	0	0	0	0	4296	0
3	37	40168	0	0	0	0	0	21027	0	0	0	2	0	34786	1	0	0	0	0	25316	0
3	37	40659	0	0	0	0	0	17229	0	0	0	4	0	30322	1	0	0	0	0	21452	0
3	38	67375	0	0	0	0	0	26961	0	0	0	1	0	33687	0	0	0	0	0	44792	0
3	40	376	0	0	0	0	0	57	0	0	0	0	0	117	0	0	0	0	0	183	0
4	2	0	0	0	0	323	0	0	0	0	131	0	0	0	0	184	0	0	0	0	164
4	12	76	0	0	0	0	0	290	0	0	0	0	0	371	0	0	0	0	0	55	0
4	12	373	0	0	0	0	0	626	0	0	0	1	2	826	1	0	0	0	0	461	0
4	13	876	0	0	0	0	0	1210	0	0	0	0	1	1245	1	0	0	0	0	913	0
4	15	3909	0	0	0	0	0	2439	0	0	0	0	0	2581	0	0	0	0	0	3772	0
4	16	3835	0	0	0	0	0	1390	0	0	0	1	1	2220	0	0	0	0	0	2131	0
4	16	880	0	0	0	0	0	223	0	0	0	1	0	388	0	0	0	0	0	628	0
4	18	948	0	0	0	0	0	203	0	0	0	0	0	687	0	0	0	0	0	593	0
4	19	170	0	0	0	0	0	68	0	0	0	0	0	78	0	0	0	0	0	111	0
4	19	118	0	0	0	0	0	37	0	0	0	0	0	44	0	0	0	0	0	95	0
4	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
4	24	669	0	0	0	0	0	310	0	0	0	0	0	553	0	0	0	0	0	394	0
4	24	820	0	0	0	0	0	419	0	0	0	0	0	644	0	0	0	0	0	418	0
4	26	1460	0	0	0	0	0	415	0	0	0	0	0	654	0	0	0	0	0	629	0
4	27	831	0	0	0	0	0	309	0	0	0	0	0	517	0	0	0	0	0	400	0
4	27	436	0	0	0	0	0	63	0	0	0	0	0	147	0	0	0	0	0	144	0
4	28	1477	0	0	0	0	0	361	0	0	0	0	0	1183	0	0	0	0	0	1212	0
4	29	1540	0	0	0	0	0	495	0	0	0	0	0	1073	0	0	0	0	0	619	0
4	31	1426	0	0	0	0	0	263	0	0	0	0	0	811	0	0	0	0	0	519	0
4	32	16888	0	0	0	0	0	3094	0	0	0	0	0	6764	0	0	0	0	0	11211	0
4	33	36180	0	0	0	0	0	8977	0	0	0	0	0	11479	1	0	0	0	0	22985	0
4	33	49272	0	0	0	0	0	11764	0	0	0	0	0	15124	0	0	0	0	0	30238	0
4	35	14501	0	0	0	0	0	3948	0	0	0	0	0	4241	1	0	0	0	0	8675	0
4	35	4594	0	0	0	0	0	2380	0	0	0	0	0	3488	0	0	0	0	0	3228	0
4	37	43558	0	0	0	0	0	22201	0	0	0	1	0	26057	0	0	0	0	0	25951	0
4	37	41492	0	0	0	0	0	16717	0	0	0	4	0	30375	0	0	0	0	0	18563	0
4	38	81069	0	0	0	0	0	19825	0	0	0	1	0	32165	0	0	0	0	0	35645	0
4	40	446	0	0	0	0	0	39	0	0	0	0	0	105	0	0	0	0	0	182	0
5	2	0	0	0	0	237	0	0	0	0	92	0	0	0	0	146	0	0	0	0	150
5	12	91	0	0	0	0	0	241	0	0	0	0	0	96	0	0	11	18	34	404	0
5	12	282	0	0	0	0	0	763	0	0	0	0	0	664	0	0	9	15	107	370	0
5	13	863	0	0	0	0	0	911	0	0	0	0	0	1079	0	0	9	3	12	2013	0
5	15	4017	0	0	0	0	0	2447	0	0	0	0	0	2723	0	0	7	6	1	4269	0
5	16	3205	0	0	0	0	0	1261	0	0	0	0	0	2536	0	0	3	1	1	1484	0
5	16	919	0	0	0	0	0	225	0	0	0	0	0	409	0	0	2	0	1	598	0
5	18	1197	0	0	0	0	0	183	0	0	0	0	0	540	0	0	0	0	0	573	0
5	19	397	0	0	0	0	0	74	0	0	0	0	0	207	0	0	0	0	0	129	0
5	19	430	0	0	0	0	0	37	0	0	0	0	0	165	0	0	0	0	0	147	0
5	20	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0
5	24	804	0	0	0	0	0	222	0	0	0	0	0	438	0	0	0	0	1	943	0
